nombre,categoria,consultas_brave,bloqueado_por_brave,pedido_por_paginas_brave,propio_de_brave,consultas_chrome,pedido_por_paginas_chrome
0279174d874b575a8faa6e901da0649a.safeframe.googlesyndication.com,publicidad,3,0,1,0,0,0
0f445f7d01e63300fb6992595e99bb3a.safeframe.googlesyndication.com,publicidad,0,0,0,0,2,1
5d0bb38d-5d11-422f-9df7-9b1c3bded5d7.edge.permutive.app,rastreador,3,0,1,0,2,1
5d0bb38d-5d11-422f-9df7-9b1c3bded5d7.prmutv.co,desconocido,3,0,1,0,2,1
a.amxrtb.com,desconocido,3,0,1,0,2,1
a.sportradarserving.com,desconocido,0,0,0,0,2,1
a.teads.tv,publicidad,3,1,1,0,2,1
a.tribalfusion.com,publicidad,0,0,0,0,2,1
aa.agkn.com,rastreador,0,0,0,0,2,1
aax-eu.amazon-adsystem.com,publicidad,3,0,1,0,2,1
accounts.google.com,desconocido,7,0,1,0,8,1
ad.360yield.com,publicidad,3,0,1,0,2,1
ad.doubleclick.net,publicidad,3,0,1,0,4,1
ad.impactify.media,desconocido,0,0,0,0,2,1
ad.turn.com,publicidad,5,0,1,0,6,1
ads.avads.net,rastreador,0,0,0,0,2,1
ads.betweendigital.com,desconocido,0,0,0,0,2,1
ads.creative-serving.com,publicidad,3,0,1,0,2,1
ads.eltiempo.co,desconocido,3,0,1,0,2,1
ads.pubmatic.com,publicidad,5,0,1,0,5,1
ads.servenobid.com,desconocido,0,0,0,0,2,1
ads.us.e-planning.net,publicidad,0,0,0,0,2,1
ads.yieldmo.com,publicidad,3,0,1,0,2,1
ads149.adtelligent.com,desconocido,0,0,0,0,2,1
adserv.mobi,desconocido,3,0,1,0,3,1
adv.eltiempo.digital,desconocido,3,0,1,0,2,1
analytics.ahrefs.com,desconocido,0,0,0,0,2,1
analytics.google.com,publicidad,3,0,1,0,6,1
analytics.twitter.com,desconocido,3,0,1,0,2,1
aorta.clickagy.com,desconocido,6,0,1,0,2,1
ap.lijit.com,publicidad,3,0,1,0,4,1
api-esp.piano.io,publicidad,3,1,1,0,2,1
api-ssp.spot.im,desconocido,0,0,0,0,2,1
api.id5-sync.com,publicidad,3,0,1,0,2,1
api.mercadolibre.com,desconocido,3,0,1,0,2,1
api.permutive.com,publicidad,3,1,1,0,2,1
applets.ebxcdn.com,rastreador,3,0,1,0,2,1
apps.smartadserver.com,publicidad,3,0,1,0,2,1
b1sync.outbrain.com,publicidad,3,0,1,0,3,1
b1sync.zemanta.com,publicidad,3,0,1,0,2,1
bcp.crwdcntrl.net,rastreador,3,0,1,0,4,1
beacon.lynx.cognitivlabs.com,desconocido,6,0,1,0,2,1
bh.contextweb.com,publicidad,3,0,1,0,2,1
brave-core-ext.s3.brave.com,desconocido,2,0,0,1,0,0
bttrack.com,publicidad,3,0,1,0,2,1
buy.tinypass.com,desconocido,3,0,1,0,2,1
c.amazon-adsystem.com,publicidad,3,0,1,0,2,1
c.bing.com,desconocido,0,0,0,0,2,1
c.go-mpulse.net,rastreador,0,0,0,0,2,1
c1.adform.net,publicidad,3,0,1,0,4,1
c2.piano.io,publicidad,3,0,1,0,2,1
capi.connatix.com,rastreador,0,0,0,0,2,1
casale-match.dotomi.com,publicidad,3,0,1,0,0,0
cdn.cxense.com,rastreador,3,0,1,0,2,1
cdn.id5-sync.com,publicidad,3,0,1,0,4,1
cdn.jsdelivr.net,desconocido,0,0,0,0,2,1
cdn.mgaru.dev,desconocido,3,0,1,0,2,1
cdn.permutive.com,publicidad,3,0,1,0,4,1
cdn.taboola.com,publicidad,0,1,1,0,2,1
cdn.tinypass.com,desconocido,3,0,1,0,2,1
cdn.undertone.com,publicidad,0,0,0,0,2,1
cdnjs.cloudflare.com,desconocido,3,0,1,0,2,1
cds.taboola.com,publicidad,0,0,0,0,2,1
ce.lijit.com,publicidad,3,0,1,0,2,1
ced.sascdn.com,desconocido,3,0,1,0,2,1
cloudfront-us-east-1.images.arcpublishing.com,desconocido,3,0,1,0,2,1
cm-mx.advolve.io,desconocido,0,0,0,0,4,1
cm.adform.net,publicidad,3,0,1,0,2,1
cm.adgrx.com,desconocido,0,0,0,0,2,1
cm.ctnsnet.com,desconocido,3,0,1,0,0,0
cm.g.doubleclick.net,publicidad,5,0,1,0,6,1
cm.mgid.com,publicidad,0,0,0,0,3,1
cms-xch-chicago.33across.com,publicidad,3,0,1,0,2,1
cms.quantserve.com,publicidad,3,0,1,0,2,1
code.jquery.com,desconocido,3,0,1,0,2,1
collector.bsg.brave.com,desconocido,6,0,0,1,4,0
comcluster.cxense.com,rastreador,3,0,1,0,3,1
componentupdater.brave.com,desconocido,4,0,0,1,0,0
