nombre,categoria,propio_de_fabricante,consultas_chrome,pedido_por_paginas_chrome,bloqueado_por_chrome,consultas_brave,pedido_por_paginas_brave,bloqueado_por_brave,consultas_firefox,pedido_por_paginas_firefox,bloqueado_por_firefox,consultas_safari,pedido_por_paginas_safari,bloqueado_por_safari,consultas_duckduckgo,pedido_por_paginas_duckduckgo,bloqueado_por_duckduckgo
17de4c0e.akstat.io,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
31524da103c32e9e4fca484e53785e94.safeframe.googlesyndication.com,publicidad,0,0,0,0,3,1,0,0,0,0,0,,,0,,
468f8bde631f008951560a11710699e2.safeframe.googlesyndication.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
5d0bb38d-5d11-422f-9df7-9b1c3bded5d7.edge.permutive.app,rastreador,0,2,1,0,2,1,0,3,1,0,0,,,0,,
5d0bb38d-5d11-422f-9df7-9b1c3bded5d7.prmutv.co,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
5e6e177dcb81b056fcdeed88cfddcc50.safeframe.googlesyndication.com,publicidad,0,5,1,0,0,0,0,0,0,0,0,,,0,,
a.amxrtb.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
a.sportradarserving.com,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
a.teads.tv,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
a.tribalfusion.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
a6084.casalemedia.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
aa.agkn.com,rastreador,0,2,1,0,0,0,0,3,1,0,0,,,0,,
aax-eu.amazon-adsystem.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
accountcapabilities-pa.googleapis.com,desconocido,1,2,0,0,0,0,0,0,0,0,0,,,0,,
accounts.google.com,desconocido,1,10,1,0,8,1,0,5,1,0,0,,,6,,
ad.360yield.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
ad.doubleclick.net,publicidad,0,4,1,0,3,1,0,3,1,0,0,,,0,,
ad.turn.com,publicidad,0,4,1,0,3,1,0,3,1,0,0,,,0,,
ads.betweendigital.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
ads.creative-serving.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
ads.eltiempo.co,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
ads.pubmatic.com,publicidad,0,5,1,0,5,1,0,3,1,0,0,,,0,,
ads.yieldmo.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
adserv.mobi,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
adservice.google.com,publicidad,1,2,0,0,0,0,0,3,0,0,0,,,1,,
adv.eltiempo.digital,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
ag.gbc.criteo.com,publicidad,0,0,0,0,0,0,0,6,1,0,0,,,0,,
agen-assets.ftstatic.com,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
ajs-assets.ftstatic.com,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
analytics-alv.google.com,desconocido,1,0,0,0,0,0,0,1,0,0,0,,,0,,
analytics.ahrefs.com,desconocido,0,2,1,0,0,0,0,3,1,0,0,,,0,,
analytics.google.com,publicidad,1,4,1,0,3,1,0,7,1,0,0,,,0,,
analytics.twitter.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
android.clients.google.com,desconocido,1,2,0,0,0,0,0,0,0,0,0,,,0,,
aorta.clickagy.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
ap.lijit.com,publicidad,0,4,1,0,4,1,0,3,1,0,0,,,0,,
api-esp.piano.io,publicidad,0,2,1,0,3,1,1,3,1,0,0,,,1,,
api.id5-sync.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
