nombre,categoria,propio_de_fabricante,consultas_gemini,pedido_por_paginas_gemini,bloqueado_por_gemini,consultas_chatgpt,pedido_por_paginas_chatgpt,bloqueado_por_chatgpt,consultas_claude,pedido_por_paginas_claude,bloqueado_por_claude,consultas_grok,pedido_por_paginas_grok,bloqueado_por_grok
02e8b605403e.w.hcaptcha.com,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0
86790652e7b6.w.hcaptcha.com,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0
a1a39dc1ffdc.w.hcaptcha.com,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0
accounts.google.com,desconocido,1,2,0,0,2,0,0,6,1,0,2,0,0
ad.doubleclick.net,publicidad,0,4,1,0,0,0,0,0,0,0,0,0,0
analytics.google.com,publicidad,1,2,1,0,0,0,0,0,0,0,0,0,0
android.clients.google.com,desconocido,1,2,0,0,2,0,0,2,0,0,2,0,0
api.hcaptcha.com,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0
assets-proxy.anthropic.com,desconocido,1,2,0,0,0,0,0,2,1,0,0,0,0
assets.claude.ai,desconocido,1,0,0,0,0,0,0,2,0,0,0,0,0
browser-intake-us5-datadoghq.com,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0
cdn.cookielaw.org,desconocido,0,0,0,0,0,0,0,0,0,0,2,1,0
cdn.grok.com,desconocido,1,0,0,0,0,0,0,0,0,0,2,1,0
chatgpt.com,desconocido,1,0,0,0,4,1,0,2,0,0,0,0,0
claude.ai,desconocido,1,0,0,0,2,0,0,2,1,0,0,0,0
clients2.google.com,telemetria,1,4,0,0,4,0,0,4,0,0,4,0,0
clients2.googleusercontent.com,desconocido,1,2,0,0,2,0,0,2,0,0,2,0,0
clients4.google.com,desconocido,1,2,0,0,0,0,0,0,0,0,0,0,0
connectivitycheck.gstatic.com,desconocido,1,0,0,0,2,0,0,0,0,0,0,0,0
docs.google.com,desconocido,1,0,0,0,2,0,0,0,0,0,0,0,0
fonts.gstatic.com,desconocido,1,2,1,0,0,0,0,0,0,0,0,0,0
gemini.google.com,desconocido,1,4,1,0,0,0,0,0,0,0,0,0,0
gemini.gstatic.com,desconocido,1,2,1,0,0,0,0,0,0,0,0,0,0
geolocation.onetrust.com,desconocido,0,0,0,0,0,0,0,0,0,0,2,1,0
grok.com,desconocido,1,2,0,0,0,0,0,0,0,0,2,1,0
js.hcaptcha.com,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0
js.stripe.com,desconocido,0,0,0,0,0,0,0,0,0,0,4,1,0
lh3.googleusercontent.com,desconocido,1,2,1,0,0,0,0,0,0,0,0,0,0
m.stripe.com,desconocido,0,0,0,0,0,0,0,0,0,0,2,1,0
m.stripe.network,desconocido,0,0,0,0,0,0,0,0,0,0,2,1,0
mtalk.google.com,esperado,1,1,0,0,1,0,0,1,0,0,1,0,0
newassets.hcaptcha.com,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0
njl0.static.usercontent.goog,desconocido,1,2,1,0,0,0,0,0,0,0,0,0,0
ogads-pa.clients6.google.com,desconocido,1,4,1,0,2,1,0,0,0,0,0,0,0
play.google.com,desconocido,1,4,1,0,2,1,0,0,0,0,0,0,0
s-cdn.anthropic.com,desconocido,1,2,0,0,0,0,0,2,1,0,0,0,0
signaler-pa.clients6.google.com,desconocido,1,2,0,0,0,0,0,0,0,0,0,0,0
static.cloudflareinsights.com,publicidad,0,0,0,0,0,0,0,0,0,0,2,1,0
stats.g.doubleclick.net,publicidad,0,2,1,0,0,0,0,0,0,0,0,0,0
waa-pa.clients6.google.com,desconocido,1,2,1,0,0,0,0,0,0,0,0,0,0
www.google-analytics.com,publicidad,0,2,1,0,0,0,0,0,0,0,2,0,0
www.google.com,desconocido,1,6,1,0,2,0,0,2,0,0,2,0,0
www.google.com.co,desconocido,1,2,1,0,0,0,0,0,0,0,0,0,0
www.googletagmanager.com,rastreador,0,4,1,0,0,0,0,0,0,0,2,1,0
www.gstatic.com,desconocido,1,6,1,0,4,1,0,2,0,0,4,1,0
