nombre,categoria,propio_de_fabricante,consultas_eltiempo,pedido_por_paginas_eltiempo,bloqueado_por_eltiempo,consultas_portafolio,pedido_por_paginas_portafolio,bloqueado_por_portafolio,consultas_elcolombiano,pedido_por_paginas_elcolombiano,bloqueado_por_elcolombiano,consultas_elespectador,pedido_por_paginas_elespectador,bloqueado_por_elespectador,consultas_elheraldo,pedido_por_paginas_elheraldo,bloqueado_por_elheraldo,consultas_semana,pedido_por_paginas_semana,bloqueado_por_semana
1990db2fdd27363699b4a20052017bbb.safeframe.googlesyndication.com,publicidad,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5bcfb420d46a61caa89bba46891a10ec.safeframe.googlesyndication.com,publicidad,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
5d0bb38d-5d11-422f-9df7-9b1c3bded5d7.edge.permutive.app,rastreador,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5d0bb38d-5d11-422f-9df7-9b1c3bded5d7.prmutv.co,desconocido,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7ab634a6f99cb05e673838677f18b637.safeframe.googlesyndication.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f7630de83e906ede7f52efc51e0cf7c.safeframe.googlesyndication.com,publicidad,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
a.amxrtb.com,desconocido,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a.c.appier.net,desconocido,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
a.sportradarserving.com,desconocido,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a.teads.tv,publicidad,0,2,1,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0
a.tribalfusion.com,publicidad,0,2,1,0,2,1,0,0,0,0,2,1,0,2,1,0,0,0,0
aa.agkn.com,rastreador,0,2,1,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0
aax-eu.amazon-adsystem.com,publicidad,0,2,1,0,2,1,0,4,1,0,2,1,0,0,0,0,0,0,0
aax.amazon-adsystem.com,publicidad,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
accounts.google.com,desconocido,0,4,1,0,2,0,0,2,0,0,4,0,0,2,0,0,2,0,0
acdn.adnxs.com,publicidad,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
ad.360yield.com,publicidad,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ad.doubleclick.net,publicidad,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,0,0,0
ad.impactify.media,desconocido,0,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ad.turn.com,publicidad,0,2,1,0,4,1,0,2,1,0,2,1,0,0,0,0,0,0,0
ade.googlesyndication.com,rastreador,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ads.avads.net,rastreador,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ads.betweendigital.com,desconocido,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ads.creative-serving.com,publicidad,0,2,1,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
ads.eltiempo.co,desconocido,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ads.pubmatic.com,publicidad,0,4,1,0,7,1,0,2,1,0,4,1,0,0,0,0,0,0,0
ads.servenobid.com,desconocido,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ads.travelaudience.com,publicidad,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
ads.viralize.tv,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
ads.yieldmo.com,publicidad,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,0,0,0
ads120.adtelligent.com,desconocido,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ads243.adtelligent.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adserv.mobi,desconocido,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
adv.eltiempo.digital,desconocido,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adx.g.doubleclick.net,publicidad,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ajax.googleapis.com,desconocido,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an.gr-wcon.com,desconocido,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
analytics-ipv6.tiktokw.us,rastreador,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
analytics.ahrefs.com,desconocido,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
analytics.google.com,publicidad,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,0,0,0
analytics.pangle-ads.com,rastreador,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
analytics.tiktok.com,rastreador,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
analytics.twitter.com,desconocido,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
